team,season,rim_pct,three_pct_shot,jumper_pct,rim_fgpct,three_fgpct,jumper_fgpct,assisted_pct,ft_rate,to_per_game,oreb_per_game,plays_per_game,block_rate,steal_rate
Austin Peay,2016,0.36183074265975823,0.3596718480138169,0.27849740932642486,0.6372315035799523,0.35414165666266506,0.3813953488372093,0.5283720930232558,0.3946459412780656,28.0,21.6,332.5,5.1,14.45
BYU,2016,0.2552016985138004,0.36772823779193203,0.37707006369426754,0.6123128119800333,0.3441108545034642,0.4009009009009009,0.5401174168297456,0.3583864118895966,24.0,21.94736842105263,341.63157894736844,8.473684210526315,12.421052631578947
Ball State,2016,0.335632183908046,0.3954022988505747,0.2689655172413793,0.5616438356164384,0.36627906976744184,0.36752136752136755,0.5531914893617021,0.3741379310344828,23.75,18.25,306.5625,5.5625,11.9375
Baylor,2016,0.36380090497737555,0.3072398190045249,0.32895927601809954,0.5970149253731343,0.3858615611192931,0.3892709766162311,0.6390243902439025,0.3900452488687783,26.25,22.15,322.5,7.95,14.55
Belmont,2016,0.3286937901498929,0.4197002141327623,0.25160599571734477,0.6986970684039088,0.35586734693877553,0.3702127659574468,0.536281179138322,0.37044967880085655,26.6875,20.625,324.5625,5.25,11.5625
Bethune-Cookman,2016,0.3512304250559284,0.378076062639821,0.27069351230425054,0.5764331210191083,0.28994082840236685,0.3305785123966942,0.5766016713091922,0.3434004474272931,22.875,25.125,310.125,8.75,8.875
Binghamton,2016,0.37891077636152953,0.3522595596755504,0.2688296639629201,0.5458715596330275,0.32401315789473684,0.3728448275862069,0.5144429160935351,0.3505214368482039,25.5625,19.3125,305.1875,4.9375,12.9375
Boise State,2016,0.31838344011828484,0.39822572695909314,0.28339083292262196,0.6811145510835913,0.33910891089108913,0.3443478260869565,0.4791666666666667,0.40266140956136026,26.5,18.77777777777778,325.22222222222223,4.833333333333333,12.222222222222221
Boston College,2016,0.3518060366155369,0.3706086095992083,0.27758535378525484,0.6146272855133614,0.35647530040053405,0.3493761140819964,0.5833333333333334,0.30133597229094505,27.63157894736842,16.57894736842105,293.7368421052632,5.947368421052632,14.0
Boston University,2016,0.38454011741682975,0.3752446183953033,0.24021526418786693,0.5763358778625954,0.35071707953063885,0.39918533604887985,0.5217864923747276,0.3561643835616438,24.22222222222222,18.38888888888889,314.44444444444446,6.166666666666667,11.055555555555555
Bowling Green,2016,0.3904494382022472,0.3291198501872659,0.2804307116104869,0.5959232613908872,0.3684210526315789,0.34056761268781305,0.43854166666666666,0.3796816479400749,24.05263157894737,20.36842105263158,317.36842105263156,6.157894736842105,11.578947368421053
Bradley,2016,0.2664804469273743,0.3458100558659218,0.3877094972067039,0.6142557651991615,0.33117932148626816,0.3688760806916426,0.5159151193633952,0.4474860335195531,28.27777777777778,15.5,309.3333333333333,4.833333333333333,12.444444444444445
Brown,2016,0.39790252930289943,0.36520666255397904,0.23689080814312152,0.5674418604651162,0.38175675675675674,0.3359375,0.5492371705963939,0.38062924120913016,25.5,21.285714285714285,329.35714285714283,7.214285714285714,13.142857142857142
