season,teamId,team,conference,offensiveRating,defensiveRating,netRating,rankings
2025,122,Indiana State,MVC,110.6,112.1,-1.5,"{'offense': 107, 'defense': 268, 'net': 180}"
2025,166,Merrimack,MAAC,100.8,102.4,-1.6,"{'offense': 295, 'defense': 80, 'net': 181}"
2025,74,East Carolina,American,107.8,109.4,-1.6,"{'offense': 167, 'defense': 219, 'net': 181}"
2025,88,Florida Gulf Coast,ASUN,107.3,109.0,-1.7,"{'offense': 183, 'defense': 207, 'net': 183}"
2025,267,South Carolina State,MEAC,103.8,105.5,-1.7,"{'offense': 239, 'defense': 128, 'net': 183}"
2025,260,San José State,Mountain West,107.0,108.8,-1.8,"{'offense': 190, 'defense': 202, 'net': 185}"
2025,81,Elon,CAA,108.8,110.7,-1.9,"{'offense': 146, 'defense': 246, 'net': 186}"
2025,35,Cal Poly,Big West,109.0,111.1,-2.0,"{'offense': 143, 'defense': 253, 'net': 187}"
2025,246,SE Louisiana,Southland,105.3,107.4,-2.2,"{'offense': 216, 'defense': 175, 'net': 188}"
2025,272,Southeast Missouri State,OVC,103.9,106.1,-2.2,"{'offense': 236, 'defense': 140, 'net': 188}"
2025,106,Hampton,CAA,105.9,108.1,-2.2,"{'offense': 207, 'defense': 188, 'net': 188}"
2025,255,Sam Houston,CUSA,110.5,112.8,-2.2,"{'offense': 109, 'defense': 286, 'net': 188}"
2025,78,Eastern Kentucky,ASUN,109.2,111.4,-2.3,"{'offense': 138, 'defense': 259, 'net': 192}"
2025,116,Idaho State,Big Sky,107.1,109.5,-2.4,"{'offense': 187, 'defense': 220, 'net': 193}"
2025,110,Hofstra,CAA,99.3,101.8,-2.4,"{'offense': 318, 'defense': 73, 'net': 193}"
2025,62,Dartmouth,Ivy,102.3,104.8,-2.5,"{'offense': 264, 'defense': 114, 'net': 195}"
2025,205,Northeastern,CAA,105.0,107.5,-2.5,"{'offense': 222, 'defense': 176, 'net': 195}"
2025,238,Quinnipiac,MAAC,103.9,106.5,-2.6,"{'offense': 236, 'defense': 153, 'net': 197}"
2025,328,UTSA,American,107.8,110.4,-2.6,"{'offense': 167, 'defense': 240, 'net': 197}"
2025,357,Wright State,Horizon,110.7,113.5,-2.8,"{'offense': 103, 'defense': 295, 'net': 199}"
2025,30,Brown,Ivy,104.1,107.0,-2.9,"{'offense': 233, 'defense': 168, 'net': 200}"
2025,241,Rice,American,105.6,108.5,-2.9,"{'offense': 210, 'defense': 194, 'net': 200}"
2025,273,Southern Illinois,MVC,106.0,108.9,-2.9,"{'offense': 205, 'defense': 204, 'net': 200}"
2025,234,Princeton,Ivy,105.3,108.2,-2.9,"{'offense': 216, 'defense': 189, 'net': 200}"
2025,127,Jacksonville,ASUN,103.4,106.4,-3.0,"{'offense': 246, 'defense': 150, 'net': 204}"
2025,45,Central Michigan,MAC,106.2,109.3,-3.1,"{'offense': 204, 'defense': 216, 'net': 205}"
