season,teamId,team,conference,rating
2020,269,South Dakota,Summit,1.1
2020,289,Temple,American,0.9
2020,312,UCF,American,0.9
2020,234,Princeton,Ivy,0.8
2020,66,Delaware,CAA,0.8
2020,232,Prairie View A&M,SWAC,0.8
2020,342,Wake Forest,ACC,0.8
2020,125,Iowa State,Big 12,0.8
2020,254,Saint Peter's,MAAC,0.7
2020,33,Buffalo,MAC,0.7
2020,250,Sacred Heart,NEC,0.6
2020,132,Kansas State,Big 12,0.6
2020,335,Valparaiso,MVC,0.6
2020,89,Florida International,CUSA,0.6
2020,178,Monmouth,MAAC,0.6
2020,255,Sam Houston,Southland,0.6
2020,353,William & Mary,CAA,0.5
2020,191,New Mexico,Mountain West,0.5
2020,229,Pittsburgh,ACC,0.5
2020,231,Portland State,Big Sky,0.4
2020,271,South Florida,American,0.4
2020,208,Northern Illinois,MAC,0.3
2020,8,American University,Patriot,0.3
2020,244,Robert Morris,NEC,0.3
2020,54,Coastal Carolina,Sun Belt,0.2
2020,215,Ohio,MAC,0.1
2020,28,Bowling Green,MAC,0.1
2020,326,UT Rio Grande Valley,WAC,0.0
2020,48,Charlotte,CUSA,0.0
2020,77,Eastern Illinois,OVC,0.0
2020,219,Old Dominion,CUSA,-0.1
2020,70,Drake,MVC,-0.2
2020,94,Gardner-Webb,Big South,-0.2
2020,344,Washington State,Pac-12,-0.2
2020,65,DePaul,Big East,-0.3
2020,274,Southern,SWAC,-0.3
2020,249,Sacramento State,Big Sky,-0.3
2020,305,UAB,CUSA,-0.3
2020,95,George Mason,A-10,-0.3
2020,228,Pepperdine,WCC,-0.4
2020,130,Kansas City,WAC,-0.4
2020,168,Miami,ACC,-0.5
2020,196,Norfolk State,MEAC,-0.5
2020,293,Texas A&M,SEC,-0.5
2020,262,Seattle U,WAC,-0.6
2020,331,Utah,Pac-12,-0.7
2020,9,App State,Sun Belt,-0.7
2020,92,Fresno State,Mountain West,-0.7
2020,273,Southern Illinois,MVC,-0.8
2020,138,Lafayette,Patriot,-0.9
2020,261,Santa Clara,WCC,-0.9
2020,327,UTEP,CUSA,-1.0
2020,315,UIC,Horizon,-1.0
2020,137,La Salle,A-10,-1.1
2020,309,UC Riverside,Big West,-1.2
2020,166,Merrimack,NEC,-1.2
2020,86,Florida Atlantic,CUSA,-1.3
2020,31,Bryant,NEC,-1.3
2020,108,Hawai'i,Big West,-1.4
2020,104,Grand Canyon,WAC,-1.5
2020,62,Dartmouth,Ivy,-1.6
2020,139,Lamar,Southland,-1.8
2020,199,North Carolina Central,MEAC,-1.8
2020,164,Mercer,SoCon,-1.8
2020,127,Jacksonville,ASUN,-1.8
2020,161,Massachusetts,A-10,-1.8
2020,290,Tennessee State,OVC,-1.8
2020,361,Youngstown State,Horizon,-1.9
2020,206,Northern Arizona,Big Sky,-1.9
2020,105,Green Bay,Horizon,-1.9
2020,241,Rice,CUSA,-2.0
2020,36,Cal State Bakersfield,WAC,-2.0
2020,32,Bucknell,Patriot,-2.2
2020,221,Omaha,Summit,-2.2
2020,79,Eastern Michigan,MAC,-2.2
2020,180,Montana State,Big Sky,-2.3
2020,336,Vanderbilt,SEC,-2.3
2020,143,Lipscomb,ASUN,-2.3
2020,128,Jacksonville State,OVC,-2.4
2020,41,Campbell,Big South,-2.5
2020,303,Tulane,American,-2.5
2020,30,Brown,Ivy,-2.6
